securityType;security;isin;alias;currency;maturityDate;issueDate;issueType;interestConvention;referenceCurve;interestType;coupon;faceValue;duedate;outPrincipal;principalEvent;principalAmount;interestEvent;interestRate;interestAmount;interestPayment;interestNotPayed;fixingDate;principalPaymentDate;interestPaymentDate;interestDate;interestPayEvent
KTV;A941201A91;XX0000000063;1994/A;HUF;1994.12.01;1991.12.01;PUBLIC;_ACT_365NL;HUF DKJ 03M LAST 6M;FLOAT;NULL;10000;1991.12.01;10000;1;-10000;0;NULL;NULL;NULL;NULL;NULL;1991.12.02;NULL;NULL;0
KTV;A941201A91;XX0000000063;1994/A;HUF;1994.12.01;1991.12.01;PUBLIC;_ACT_365NL;HUF DKJ 03M LAST 6M;FLOAT;NULL;10000;1992.12.01;10000;0;NULL;1;33,74;3374;3374;NULL;1991.12.02;NULL;1992.12.01;1992.12.01;1
KTV;A941201A91;XX0000000063;1994/A;HUF;1994.12.01;1991.12.01;PUBLIC;_ACT_365NL;HUF DKJ 03M LAST 6M;FLOAT;NULL;10000;1993.12.01;10000;0;NULL;1;18,74;1874;1874;NULL;1992.11.30;NULL;1993.12.01;1993.12.01;1
KTV;A941201A91;XX0000000063;1994/A;HUF;1994.12.01;1991.12.01;PUBLIC;_ACT_365NL;HUF DKJ 03M LAST 6M;FLOAT;NULL;10000;1994.12.01;0;1;10000;1;25,5;2550;2550;NULL;1993.11.30;1994.12.01;1994.12.01;1994.12.01;1
KTV;A941218B92;XX0000000052;1994/B;HUF;1994.12.18;1992.12.18;PUBLIC;_ACT_365NL;NULL;FIX;17,5;10000;1992.12.18;10000;1;-10000;0;NULL;NULL;NULL;NULL;NULL;1992.12.18;NULL;NULL;0
KTV;A941218B92;XX0000000052;1994/B;HUF;1994.12.18;1992.12.18;PUBLIC;_ACT_365NL;NULL;FIX;17,5;10000;1993.12.18;10000;0;NULL;1;17,5;1750;1750;NULL;1992.12.17;NULL;1993.12.20;1993.12.18;1
KTV;A941218B92;XX0000000052;1994/B;HUF;1994.12.18;1992.12.18;PUBLIC;_ACT_365NL;NULL;FIX;17,5;10000;1994.12.18;0;1;10000;1;17,5;1750;1750;NULL;1993.12.17;1994.12.19;1994.12.19;1994.12.18;1
KTV;A951006A92;XX0000000053;1995/A;HUF;1995.10.06;1992.10.06;PUBLIC;_ACT_365NL;NULL;FIX;21;10000;1992.10.06;10000;1;-10000;0;NULL;NULL;NULL;NULL;NULL;1992.10.06;NULL;NULL;0
KTV;A951006A92;XX0000000053;1995/A;HUF;1995.10.06;1992.10.06;PUBLIC;_ACT_365NL;NULL;FIX;21;10000;1993.10.06;10000;0;NULL;1;21;2100;2100;NULL;1992.10.05;NULL;1993.10.06;1993.10.06;1
KTV;A951006A92;XX0000000053;1995/A;HUF;1995.10.06;1992.10.06;PUBLIC;_ACT_365NL;NULL;FIX;21;10000;1994.10.06;10000;0;NULL;1;17;1700;1700;NULL;1993.10.05;NULL;1994.10.06;1994.10.06;1
KTV;A951006A92;XX0000000053;1995/A;HUF;1995.10.06;1992.10.06;PUBLIC;_ACT_365NL;NULL;FIX;21;10000;1995.10.06;0;1;10000;1;14;1400;1400;NULL;1994.10.05;1995.10.06;1995.10.06;1995.10.06;1
KTV;A951112B92;XX0000000064;1995/B;HUF;1995.11.12;1992.11.12;PUBLIC;_ACT_365NL;NULL;FIX;21;10000;1992.11.12;10000;1;-10000;0;NULL;NULL;NULL;NULL;NULL;1992.11.12;NULL;NULL;0
KTV;A951112B92;XX0000000064;1995/B;HUF;1995.11.12;1992.11.12;PUBLIC;_ACT_365NL;NULL;FIX;21;10000;1993.11.12;10000;0;NULL;1;21;2100;2100;NULL;1992.11.11;NULL;1993.11.12;1993.11.12;1
KTV;A951112B92;XX0000000064;1995/B;HUF;1995.11.12;1992.11.12;PUBLIC;_ACT_365NL;NULL;FIX;21;10000;1994.11.12;10000;0;NULL;1;17;1700;1700;NULL;1993.11.11;NULL;1994.11.14;1994.11.12;1
KTV;A951112B92;XX0000000064;1995/B;HUF;1995.11.12;1992.11.12;PUBLIC;_ACT_365NL;NULL;FIX;21;10000;1995.11.12;0;1;10000;1;14;1400;1400;NULL;1994.11.11;1995.11.13;1995.11.13;1995.11.12;1
KTV;A950201C93;XX0000000095;1995/C;HUF;1995.02.01;1993.02.01;PUBLIC;_ACT_365NL;NULL;FIX;17,5;10000;1993.02.01;10000;1;-10000;0;NULL;NULL;NULL;NULL;NULL;1993.02.01;NULL;NULL;0
KTV;A950201C93;XX0000000095;1995/C;HUF;1995.02.01;1993.02.01;PUBLIC;_ACT_365NL;NULL;FIX;17,5;10000;1994.02.01;10000;0;NULL;1;17,5;1750;1750;NULL;1993.01.31;NULL;1994.02.01;1994.02.01;1
KTV;A950201C93;XX0000000095;1995/C;HUF;1995.02.01;1993.02.01;PUBLIC;_ACT_365NL;NULL;FIX;17,5;10000;1995.02.01;0;1;10000;1;17,5;1750;1750;NULL;1994.01.31;1995.02.01;1995.02.01;1995.02.01;1
KTV;A950609D93;XX0000000065;1995/D;HUF;1995.06.09;1993.06.09;PUBLIC;_ACT_365NL;NULL;FIX;17;10000;1993.06.09;10000;1;-10000;0;NULL;NULL;NULL;NULL;NULL;1993.06.09;NULL;NULL;0
KTV;A950609D93;XX0000000065;1995/D;HUF;1995.06.09;1993.06.09;PUBLIC;_ACT_365NL;NULL;FIX;17;10000;1994.06.09;10000;0;NULL;1;17;1700;1700;NULL;1993.06.08;NULL;1994.06.09;1994.06.09;1
KTV;A950609D93;XX0000000065;1995/D;HUF;1995.06.09;1993.06.09;PUBLIC;_ACT_365NL;NULL;FIX;17;10000;1995.06.09;0;1;10000;1;17;1700;1700;NULL;1994.06.08;1995.06.09;1995.06.09;1995.06.09;1
KTV;A950702F93;XX0000000066;1995/F;HUF;1995.07.02;1993.07.02;PUBLIC;_ACT_365NL;NULL;FIX;17;10000;1993.07.02;10000;1;-10000;0;NULL;NULL;NULL;NULL;NULL;1993.07.02;NULL;NULL;0
KTV;A950702F93;XX0000000066;1995/F;HUF;1995.07.02;1993.07.02;PUBLIC;_ACT_365NL;NULL;FIX;17;10000;1994.07.02;10000;0;NULL;1;17;1700;1700;NULL;1993.07.01;NULL;1994.07.04;1994.07.02;1
KTV;A950702F93;XX0000000066;1995/F;HUF;1995.07.02;1993.07.02;PUBLIC;_ACT_365NL;NULL;FIX;17;10000;1995.07.02;0;1;10000;1;17;1700;1700;NULL;1994.07.01;1995.07.03;1995.07.03;1995.07.02;1
KTV;A950810G93;XX0000000067;1995/G;HUF;1995.08.10;1993.08.10;PUBLIC;_ACT_365NL;NULL;FIX;19,5;10000;1993.08.10;10000;1;-10000;0;NULL;NULL;NULL;NULL;NULL;1993.08.10;NULL;NULL;0
KTV;A950810G93;XX0000000067;1995/G;HUF;1995.08.10;1993.08.10;PUBLIC;_ACT_365NL;NULL;FIX;19,5;10000;1994.08.10;10000;0;NULL;1;19,5;1950;1950;NULL;1993.08.09;NULL;1994.08.10;1994.08.10;1
KTV;A950810G93;XX0000000067;1995/G;HUF;1995.08.10;1993.08.10;PUBLIC;_ACT_365NL;NULL;FIX;19,5;10000;1995.08.10;0;1;10000;1;19,5;1950;1950;NULL;1994.08.09;1995.08.10;1995.08.10;1995.08.10;1
KTV;A950910H93;XX0000000068;1995/H;HUF;1995.09.10;1993.09.10;PUBLIC;_ACT_365NL;NULL;FIX;19,5;10000;1993.09.10;10000;1;-10000;0;NULL;NULL;NULL;NULL;NULL;1993.09.10;NULL;NULL;0
KTV;A950910H93;XX0000000068;1995/H;HUF;1995.09.10;1993.09.10;PUBLIC;_ACT_365NL;NULL;FIX;19,5;10000;1994.09.10;10000;0;NULL;1;19,5;1950;1950;NULL;1993.09.09;NULL;1994.09.12;1994.09.10;1
