Date;HUFONIA;Turnover (mio HUF)
dátum;HUFONIA;forgalom (m Ft)
2015.01.05;1,348;207215
2015.01.06;1,222;149712
2015.01.07;1,552;144037
2015.01.08;1,516;166001
2015.01.09;1,374;20631
2015.01.10;1,307;21387
2015.01.12;1,387;144949
2015.01.13;1,548;141709
2015.01.14;1,566;152530
2015.01.15;1,881;197823
2015.01.16;2,128;273952
2015.01.19;1,676;205597
2015.01.20;1,813;204672
2015.01.21;1,613;131685
2015.01.22;1,463;145570
2015.01.23;1,391;122525
2015.01.26;1,362;146697
2015.01.27;1,32;130249
2015.01.28;1,357;117593
2015.01.29;1,419;130780
2015.01.30;1,613;198891
2015.02.02;1,598;123024
2015.02.03;1,639;148749
2015.02.04;1,547;154385
2015.02.05;1,5;137147
2015.02.06;1,416;121111
2015.02.09;1,359;132069
2015.02.10;1,361;148161
2015.02.11;1,31;122005
2015.02.12;1,247;123764
2015.02.13;1,217;100860
2015.02.16;1,211;137362
2015.02.17;1,192;111393
2015.02.18;1,211;174876
2015.02.19;1,21;139660
2015.02.20;1,47;190977
2015.02.23;1,396;201579
2015.02.24;1,424;191250
2015.02.25;1,533;155047
2015.02.26;1,895;127709
2015.02.27;2,203;144676
2015.03.02;1,791;162632
2015.03.03;1,814;172192
2015.03.04;1,686;100105
2015.03.05;1,612;134679
2015.03.06;1,58;165385
2015.03.09;1,472;129700
2015.03.10;1,457;132515
2015.03.11;1,286;191617
2015.03.12;1,235;109863
2015.03.13;1,189;140401
2015.03.16;1,185;110849
2015.03.17;1,203;135469
2015.03.18;1,212;131944
2015.03.19;1,141;118495
2015.03.20;1,183;117424
2015.03.23;1,22;182177
2015.03.24;1,218;137724
2015.03.25;1,059;110822
2015.03.26;0,984;88500
2015.03.27;0,798;106825
2015.03.30;0,86;114000
2015.03.31;0,999;217005
2015.04.01;1,193;179562
2015.04.02;1,177;65568
2015.04.03;1,135;64448
2015.04.07;1,059;120709
2015.04.08;1,112;104098
2015.04.09;1,032;103974
2015.04.10;1,085;110325
2015.04.13;1,049;133242
2015.04.14;1,069;162941
2015.04.15;1,265;114662
2015.04.16;1,407;114685
2015.04.17;1,536;120964
2015.04.20;1,792;94774
2015.04.21;2,576;117099
2015.04.22;1,774;172075
2015.04.23;1,954;152509
2015.04.24;1,886;144434
2015.04.27;1,841;116231
2015.04.28;1,797;178372
2015.04.29;1,824;132920
2015.04.30;1,716;152563
2015.05.04;1,549;188314
2015.05.05;1,53;135041
2015.05.06;1,519;145490
2015.05.07;1,759;158191
2015.05.08;1,79;195087
2015.05.11;1,697;159080
2015.05.12;1,684;216871
2015.05.13;1,682;140470
2015.05.14;1,739;160455
2015.05.15;1,636;225650
2015.05.18;1,558;154022
2015.05.19;1,645;167906
2015.05.20;1,776;77665
2015.05.21;1,732;82713
2015.05.22;1,832;140305
2015.05.26;1,743;133815
2015.05.27;1,212;190046
2015.05.28;0,901;124450
2015.05.29;0,657;123215
2015.06.01;1,023;119713
2015.06.02;1,186;169814
2015.06.03;1,339;127311
2015.06.04;1,476;115768
2015.06.05;1,447;115047
2015.06.08;1,454;142856
2015.06.09;1,365;152655
2015.06.10;1,498;120524
2015.06.11;1,59;156612
2015.06.12;1,572;122253
2015.06.15;1,493;152608
2015.06.16;1,535;196460
2015.06.17;1,174;165730
2015.06.18;1,307;118625
2015.06.19;1,512;146218
2015.06.22;1,91;148271
2015.06.23;2,153;179379
2015.06.24;1,055;301819
2015.06.25;0,635;280915
2015.06.26;0,573;173675
2015.06.29;0,572;136145
2015.06.30;0,529;151649
2015.07.01;1,148;176506
2015.07.02;1,029;177435
2015.07.03;0,905;136432
2015.07.06;0,872;146612
2015.07.07;0,843;151387
2015.07.08;1,132;132811
2015.07.09;1,473;147707
2015.07.10;1,871;152135
2015.07.13;1,967;152087
2015.07.14;1,891;175096
2015.07.15;1,6;84751
2015.07.16;1,432;108249
2015.07.17;1,232;150563
2015.07.20;1,323;168424
2015.07.21;1,479;129071
2015.07.22;1,072;100019
2015.07.23;0,518;140227
2015.07.24;0,463;77833
2015.07.27;0,438;72508
2015.07.28;0,391;151506
2015.07.29;0,449;83705
2015.07.30;0,425;97010
2015.07.31;0,513;83868
2015.08.03;0,614;153347
2015.08.04;0,556;88454
2015.08.05;0,575;127156
2015.08.06;0,625;115256
2015.08.07;0,618;20010
2015.08.08;0,66;21451
2015.08.10;0,756;128153
2015.08.11;0,885;183492
2015.08.12;0,904;117874
2015.08.13;0,795;122902
2015.08.14;0,795;152178
2015.08.17;0,708;96021
2015.08.18;0,727;112021
2015.08.19;0,771;126345
2015.08.24;0,637;128012
2015.08.25;0,579;146708
2015.08.26;0,588;166695
2015.08.27;0,723;193220
2015.08.28;0,788;143855
2015.08.31;0,634;101711
2015.09.01;0,932;155314
2015.09.02;0,954;134970
2015.09.03;0,872;129008
2015.09.04;0,758;138720
2015.09.07;0,79;135782
2015.09.08;0,743;170993
2015.09.09;0,961;127490
2015.09.10;1,349;158428
2015.09.11;1,905;210102
2015.09.14;2,166;163152
2015.09.15;2,299;159028
2015.09.16;2,075;177057
2015.09.17;1,979;124357
2015.09.18;1,971;123193
2015.09.21;2,133;136995
2015.09.22;2,122;152981
2015.09.23;1,41;154894
2015.09.24;2,147;178706
2014.01.02;2,055;147180
2014.01.03;2,047;117602
2014.01.06;2,098;201083
2014.01.07;2,103;222765
2014.01.08;2,149;195051
2014.01.09;2,114;122391
2014.01.10;2,057;118711
2014.01.13;2,093;139564
2014.01.14;2,156;209950
2014.01.15;2,13;161929
2014.01.16;2,076;84702
2014.01.17;2,122;87961
2014.01.20;2,397;165752
2014.01.21;3,093;83115
2014.01.22;2,201;134133
2014.01.23;2,072;139695
2014.01.24;2,066;135765
2014.01.27;2,024;161314
2014.01.28;2,127;119436
2014.01.29;2,521;142821
2014.01.30;2,527;146639
2014.01.31;2,471;144545
2014.02.03;2,646;160786
2014.02.04;2,66;147821
2014.02.05;2,202;193670
2014.02.06;2,105;124355
2014.02.07;2,028;117214
2014.02.10;1,999;84521
2014.02.11;2,055;96782
2014.02.12;2,451;179837
2014.02.13;2,332;130480
2014.02.14;2,31;122584
2014.02.17;2,224;154040
2014.02.18;2,097;185752
2014.02.19;1,962;124868
2014.02.20;2,007;149111
2014.02.21;2,061;175102
2014.02.24;2,134;139880
2014.02.25;1,996;132286
2014.02.26;1,904;176675
2014.02.27;1,929;90715
2014.02.28;1,807;128094
2014.03.03;1,891;197940
2014.03.04;1,872;138970
2014.03.05;2,105;150542
2014.03.06;2,238;122175
2014.03.07;2,267;108651
2014.03.10;2,001;119691
2014.03.11;1,917;70334
2014.03.12;2,223;150180
2014.03.13;2,703;148919
2014.03.14;2,797;126306
2014.03.17;2,611;96676
2014.03.18;2,385;104905
2014.03.19;1,951;124645
2014.03.20;1,908;112044
2014.03.21;1,941;123750
2014.03.24;1,862;110871
2014.03.25;1,802;121867
2014.03.26;1,683;95841
2014.03.27;1,607;88533
2014.03.28;1,545;78401
2014.03.31;1,406;141068
2014.04.01;1,685;114408
2014.04.02;2,31;148586
2014.04.03;2,581;136059
2014.04.04;2,407;156063
2014.04.07;1,911;129942
2014.04.08;1,809;114693
2014.04.09;1,956;127348
2014.04.10;1,844;125302
2014.04.11;1,814;152161
2014.04.14;1,816;136609
2014.04.15;1,825;132221
2014.04.16;2,087;141915
2014.04.17;2,3;130193
2014.04.18;2,177;100933
2014.04.22;2,494;115584
2014.04.23;2,235;157389
2014.04.24;2,352;166582
2014.04.25;2,345;154569
2014.04.28;2,319;183425
2014.04.29;2,331;177275
2014.04.30;2,113;185197
2014.05.05;1,992;170946
2014.05.06;1,998;159918
2014.05.07;2,057;134053
2014.05.08;2,04;110962
2014.05.09;1,846;24956
2014.05.10;1,804;23946
2014.05.12;2,069;133961
2014.05.13;2,212;112473
2014.05.14;2,12;100475
2014.05.15;2,144;148682
2014.05.16;2,103;163353
2014.05.19;2,128;172507
2014.05.20;2,297;105489
2014.05.21;1,852;154949
2014.05.22;1,666;73487
2014.05.23;1,52;75284
2014.05.26;1,493;85784
2014.05.27;1,502;49488
2014.05.28;1,503;114642
2014.05.29;1,429;100664
2014.05.30;1,462;101484
2014.06.02;1,756;128509
2014.06.03;1,857;102564
2014.06.04;1,93;137376
2014.06.05;1,853;79876
2014.06.06;1,82;121386
2014.06.10;1,8;117112
2014.06.11;1,726;184681
2014.06.12;1,776;81656
2014.06.13;1,747;122048
2014.06.16;1,931;143007
2014.06.17;1,942;129676
2014.06.18;1,634;107957
2014.06.19;1,524;68867
2014.06.20;1,729;159108
2014.06.23;1,816;169172
2014.06.24;1,833;176331
2014.06.25;1,468;103194
2014.06.26;1,39;82538
2014.06.27;1,302;65536
2014.06.30;1,243;94640
2014.07.01;1,501;127398
2014.07.02;1,865;142240
2014.07.03;1,919;103878
2014.07.04;1,959;94190
2014.07.07;1,93;108031
2014.07.08;1,884;97573
2014.07.09;1,884;109105
2014.07.10;1,73;92072
