Dátum;Értéknap;Futamidõ;ISIN Kód;Értékpapír;Lejárat;Hozam (%);Változás;Átlag vétel (%);Átlag eladás (%);Nettó árfolyam (%);Felhalmozott kamat (%)
Date;Settle Date;Tenor;ISIN Code;Security Name;Maturity Date;Yield (%);Change;Avg Bid (%);Avg Ask (%);Net price (%);Accrued Interest (%)
2002.01.03;2002.01.07;M3;D020417;HU0000513379;2002.04.17;9,65;;9,77;9,52;97,4256;0,0000
2002.01.03;2002.01.07;M6;D020612;HU0000513452;2002.06.12;9,39;;9,50;9,27;96,1436;0,0000
2002.01.03;2002.01.07;M12;D021227;HU0000513494;2002.12.27;8,96;;9,08;8,83;92,0091;0,0000
2002.01.03;2002.01.07;Y3;2004/J;HU0000402029;2004.10.12;8,07;;8,20;7,94;105,6717;4,3315
2002.01.03;2002.01.07;Y5;2006/E;HU0000401963;2006.05.12;7,58;;7,70;7,45;105,1608;1,3041
2002.01.03;2002.01.07;Y10;2011/A;HU0000401922;2011.02.12;6,98;;7,11;6,84;107,3030;3,0411
2002.01.03;2002.01.07;Y15;2017/A;HU0000402037;2017.11.24;6,65;;6,78;6,51;101,9301;0,9801
2002.01.04;2002.01.08;M3;D020417;HU0000513379;2002.04.17;9,59;-0,06;9,71;9,46;97,4661;0,0000
2002.01.04;2002.01.08;M6;D020612;HU0000513452;2002.06.12;9,36;-0,03;9,49;9,23;96,1772;0,0000
2002.01.04;2002.01.08;M12;D021227;HU0000513494;2002.12.27;8,94;-0,02;9,07;8,80;92,0462;0,0000
2002.01.04;2002.01.08;Y3;2004/J;HU0000402029;2004.10.12;7,98;-0,09;8,11;7,85;105,9080;4,3548
2002.01.04;2002.01.08;Y5;2006/E;HU0000401963;2006.05.12;7,48;-0,10;7,61;7,35;105,5255;1,3274
2002.01.04;2002.01.08;Y10;2011/A;HU0000401922;2011.02.12;6,96;-0,02;7,09;6,82;107,4558;3,0616
2002.01.04;2002.01.08;Y15;2017/A;HU0000402037;2017.11.24;6,60;-0,05;6,73;6,47;102,3852;0,9986
2002.01.07;2002.01.09;M3;D020417;HU0000513379;2002.04.17;9,41;-0,18;9,54;9,28;97,5358;0,0000
2002.01.07;2002.01.09;M6;D020612;HU0000513452;2002.06.12;9,22;-0,14;9,35;9,08;96,2576;0,0000
2002.01.07;2002.01.09;M12;D021227;HU0000513494;2002.12.27;8,81;-0,13;8,94;8,67;92,1733;0,0000
2002.01.07;2002.01.09;Y3;2004/J;HU0000402029;2004.10.12;7,86;-0,12;7,99;7,72;106,2283;4,3781
2002.01.07;2002.01.09;Y5;2006/E;HU0000401963;2006.05.12;7,39;-0,09;7,51;7,26;105,8911;1,3507
2002.01.07;2002.01.09;Y10;2011/A;HU0000401922;2011.02.12;6,87;-0,09;7,00;6,74;108,0426;3,0822
2002.01.07;2002.01.09;Y15;2017/A;HU0000402037;2017.11.24;6,51;-0,09;6,65;6,37;103,2888;1,0171
2002.01.08;2002.01.10;M3;D020417;HU0000513379;2002.04.17;9,13;-0,28;9,26;9,00;97,6312;0,0000
2002.01.08;2002.01.10;M6;D020612;HU0000513452;2002.06.12;8,98;-0,24;9,12;8,84;96,3724;0,0000
2002.01.08;2002.01.10;M12;D021227;HU0000513494;2002.12.27;8,76;-0,05;8,89;8,62;92,2348;0,0000
2002.01.08;2002.01.10;Y3;2004/J;HU0000402029;2004.10.12;7,84;-0,02;7,97;7,70;106,2981;4,4014
2002.01.08;2002.01.10;Y5;2006/E;HU0000401963;2006.05.12;7,34;-0,05;7,47;7,20;106,0941;1,3740
2002.01.08;2002.01.10;Y10;2011/A;HU0000401922;2011.02.12;6,86;-0,01;6,99;6,72;108,1632;3,1027
2002.01.08;2002.01.10;Y15;2017/A;HU0000402037;2017.11.24;6,53;0,02;6,66;6,39;103,1577;1,0356
2002.01.09;2002.01.11;M3;D020417;HU0000513379;2002.04.17;9,10;-0,03;9,23;8,96;97,6638;0,0000
2002.01.09;2002.01.11;M6;D020612;HU0000513452;2002.06.12;9,00;0,02;9,13;8,86;96,3894;0,0000
2002.01.09;2002.01.11;M12;D021227;HU0000513494;2002.12.27;8,75;-0,01;8,88;8,61;92,2633;0,0000
2002.01.09;2002.01.11;Y3;2004/J;HU0000402029;2004.10.12;7,80;-0,04;7,94;7,66;106,4036;4,4247
2002.01.09;2002.01.11;Y5;2006/E;HU0000401963;2006.05.12;7,33;-0,01;7,46;7,19;106,1511;1,3973
2002.01.09;2002.01.11;Y10;2011/A;HU0000401922;2011.02.12;6,89;0,03;7,02;6,75;107,9819;3,1233
2002.01.09;2002.01.11;Y15;2017/A;HU0000402037;2017.11.24;6,53;0,00;6,67;6,39;103,1272;1,0541
2002.01.10;2002.01.14;M3;D020417;HU0000513379;2002.04.17;9,05;-0,05;9,17;8,92;97,7473;0,0000
2002.01.10;2002.01.14;M6;D020612;HU0000513452;2002.06.12;8,93;-0,07;9,07;8,79;96,4828;0,0000
2002.01.10;2002.01.14;M12;D021227;HU0000513494;2002.12.27;8,69;-0,06;8,82;8,56;92,3691;0,0000
2002.01.10;2002.01.14;Y3;2004/J;HU0000402029;2004.10.12;7,65;-0,15;7,78;7,51;106,8395;4,4945
2002.01.10;2002.01.14;Y5;2006/E;HU0000401963;2006.05.12;7,21;-0,12;7,33;7,08;106,6505;1,4671
2002.01.10;2002.01.14;Y10;2011/A;HU0000401922;2011.02.12;6,82;-0,07;6,95;6,69;108,4762;3,1849
2002.01.10;2002.01.14;Y15;2017/A;HU0000402037;2017.11.24;6,49;-0,04;6,62;6,36;103,5740;1,1096
2002.01.11;2002.01.15;M3;D020417;HU0000513379;2002.04.17;8,98;-0,07;9,11;8,85;97,7867;0,0000
2002.01.11;2002.01.15;M6;D020612;HU0000513452;2002.06.12;8,89;-0,04;9,01;8,76;96,5226;0,0000
2002.01.11;2002.01.15;M12;D021227;HU0000513494;2002.12.27;8,67;-0,02;8,80;8,54;92,4056;0,0000
2002.01.11;2002.01.15;Y3;2004/J;HU0000402029;2004.10.12;7,70;0,05;7,83;7,57;106,7295;4,5178
2002.01.11;2002.01.15;Y5;2006/E;HU0000401963;2006.05.12;7,28;0,07;7,41;7,14;106,4155;1,4904
2002.01.11;2002.01.15;Y10;2011/A;HU0000401922;2011.02.12;6,86;0,04;6,99;6,73;108,2276;3,2055
2002.01.11;2002.01.15;Y15;2017/A;HU0000402037;2017.11.24;6,54;0,05;6,67;6,40;103,1485;1,1281
2002.01.14;2002.01.16;M3;D020417;HU0000513379;2002.04.17;8,74;-0,24;8,87;8,61;97,8675;0,0000
2002.01.14;2002.01.16;M6;D020612;HU0000513452;2002.06.12;8,64;-0,25;8,78;8,50;96,6374;0,0000
2002.01.14;2002.01.16;M12;D021227;HU0000513494;2002.12.27;8,50;-0,17;8,64;8,36;92,5634;0,0000
2002.01.14;2002.01.16;Y3;2004/J;HU0000402029;2004.10.12;7,58;-0,12;7,72;7,44;107,0382;4,5411
2002.01.14;2002.01.16;Y5;2006/E;HU0000401963;2006.05.12;7,15;-0,13;7,28;7,01;106,9110;1,5137
2002.01.14;2002.01.16;Y10;2011/A;HU0000401922;2011.02.12;6,67;-0,19;6,80;6,53;109,5640;3,2260
2002.01.14;2002.01.16;Y15;2017/A;HU0000402037;2017.11.24;6,43;-0,11;6,56;6,30;104,2061;1,1466
2002.01.15;2002.01.17;M3;D020515;HU0000513171;2002.05.15;8,62;-0,12;8,75;8,48;97,2904;0,0000
2002.01.15;2002.01.17;M6;D020612;HU0000513452;2002.06.12;8,56;-0,08;8,70;8,42;96,6894;0,0000
2002.01.15;2002.01.17;M12;D021227;HU0000513494;2002.12.27;8,45;-0,05;8,58;8,31;92,6278;0,0000
2002.01.15;2002.01.17;Y3;2004/J;HU0000402029;2004.10.12;7,52;-0,06;7,65;7,39;107,2032;4,5644
2002.01.15;2002.01.17;Y5;2006/E;HU0000401963;2006.05.12;7,14;-0,01;7,28;7,00;106,9497;1,5370
2002.01.15;2002.01.17;Y10;2011/A;HU0000401922;2011.02.12;6,69;0,02;6,82;6,55;109,4473;3,2466
2002.01.15;2002.01.17;Y15;2017/A;HU0000402037;2017.11.24;6,46;0,03;6,59;6,32;103,9757;1,1651
2002.01.16;2002.01.18;M3;D020515;HU0000513171;2002.05.15;8,57;-0,05;8,71;8,43;97,3264;0,0000
2002.01.16;2002.01.18;M6;D020612;HU0000513452;2002.06.12;8,44;-0,12;8,58;8,30;96,7560;0,0000
2002.01.16;2002.01.18;M12;D021227;HU0000513494;2002.12.27;8,25;-0,20;8,38;8,11;92,8093;0,0000
2002.01.16;2002.01.18;Y3;2004/J;HU0000402029;2004.10.12;7,47;-0,05;7,60;7,34;107,3444;4,5877
2002.01.16;2002.01.18;Y5;2006/E;HU0000401963;2006.05.12;7,06;-0,08;7,19;6,92;107,2817;1,5603
2002.01.16;2002.01.18;Y10;2011/A;HU0000401922;2011.02.12;6,60;-0,09;6,73;6,46;110,0804;3,2671
2002.01.16;2002.01.18;Y15;2017/A;HU0000402037;2017.11.24;6,38;-0,08;6,52;6,24;104,7440;1,1836
2002.01.17;2002.01.21;M3;D020515;HU0000513171;2002.05.15;8,55;-0,02;8,68;8,42;97,3991;0,0000
2002.01.17;2002.01.21;M6;D020612;HU0000513452;2002.06.12;8,47;0,03;8,61;8,33;96,8100;0,0000
2002.01.17;2002.01.21;M12;D021227;HU0000513494;2002.12.27;8,16;-0,09;8,29;8,02;92,9400;0,0000
2002.01.17;2002.01.21;Y3;2004/J;HU0000402029;2004.10.12;7,43;-0,04;7,57;7,29;107,5039;4,6575
2002.01.17;2002.01.21;Y5;2006/E;HU0000401963;2006.05.12;7,01;-0,05;7,14;6,87;107,5256;1,6301
2002.01.17;2002.01.21;Y10;2011/A;HU0000401922;2011.02.12;6,58;-0,02;6,71;6,45;110,2404;3,3288
2002.01.17;2002.01.21;Y15;2017/A;HU0000402037;2017.11.24;6,37;-0,01;6,51;6,23;104,8978;1,2390
2002.01.18;2002.01.22;M3;D020515;HU0000513171;2002.05.15;8,61;0,06;8,74;8,47;97,4052;0,0000
2002.01.18;2002.01.22;M6;D020612;HU0000513452;2002.06.12;8,53;0,06;8,67;8,39;96,8100;0,0000
2002.01.18;2002.01.22;M12;D021227;HU0000513494;2002.12.27;8,19;0,03;8,33;8,05;92,9312;0,0000
2002.01.18;2002.01.22;Y3;2004/J;HU0000402029;2004.10.12;7,46;0,03;7,59;7,32;107,4651;4,6808
2002.01.18;2002.01.22;Y5;2006/E;HU0000401963;2006.05.12;7,07;0,06;7,21;6,93;107,3070;1,6534
2002.01.18;2002.01.22;Y10;2011/A;HU0000401922;2011.02.12;6,64;0,06;6,77;6,50;109,8844;3,3493
2002.01.18;2002.01.22;Y15;2017/A;HU0000402037;2017.11.24;6,42;0,05;6,56;6,27;104,4654;1,2575
2002.01.21;2002.01.23;M3;D020515;HU0000513171;2002.05.15;8,67;0,06;8,81;8,53;97,4086;0,0000
2002.01.21;2002.01.23;M6;D020612;HU0000513452;2002.06.12;8,56;0,03;8,70;8,41;96,8229;0,0000
2002.01.21;2002.01.23;M12;D021227;HU0000513494;2002.12.27;8,21;0,02;8,34;8,07;92,9386;0,0000
2002.01.21;2002.01.23;Y3;2004/J;HU0000402029;2004.10.12;7,53;0,07;7,67;7,39;107,3073;4,7041
2002.01.21;2002.01.23;Y5;2006/E;HU0000401963;2006.05.12;7,13;0,06;7,26;6,99;107,1257;1,6767
2002.01.21;2002.01.23;Y10;2011/A;HU0000401922;2011.02.12;6,64;0,00;6,78;6,50;109,8701;3,3699
2002.01.21;2002.01.23;Y15;2017/A;HU0000402037;2017.11.24;6,45;0,03;6,59;6,31;104,1333;1,2760
2002.01.22;2002.01.24;M3;D020515;HU0000513171;2002.05.15;8,66;-0,01;8,79;8,52;97,4355;0,0000
2002.01.22;2002.01.24;M6;D020612;HU0000513452;2002.06.12;8,54;-0,02;8,67;8,40;96,8521;0,0000
2002.01.22;2002.01.24;M12;D021227;HU0000513494;2002.12.27;8,18;-0,03;8,31;8,05;92,9780;0,0000
2002.01.22;2002.01.24;Y3;2004/J;HU0000402029;2004.10.12;7,51;-0,02;7,64;7,37;107,3882;4,7274
2002.01.22;2002.01.24;Y5;2006/E;HU0000401963;2006.05.12;7,08;-0,05;7,21;6,95;107,3103;1,7000
2002.01.22;2002.01.24;Y10;2011/A;HU0000401922;2011.02.12;6,64;0,00;6,78;6,50;109,8894;3,3904
2002.01.22;2002.01.24;Y15;2017/A;HU0000402037;2017.11.24;6,44;-0,01;6,58;6,30;104,2507;1,2945
2002.01.23;2002.01.25;M3;D020515;HU0000513171;2002.05.15;8,65;-0,01;8,79;8,51;97,4594;0,0000
2002.01.23;2002.01.25;M6;D020807;HU0000513619;2002.08.07;8,41;-0,13;8,54;8,27;95,7238;0,0000
2002.01.23;2002.01.25;M12;D021227;HU0000513494;2002.12.27;8,18;0,00;8,31;8,04;93,0013;0,0000
2002.01.23;2002.01.25;Y3;2004/J;HU0000402029;2004.10.12;7,47;-0,04;7,61;7,33;107,4929;4,7507
2002.01.23;2002.01.25;Y5;2006/E;HU0000401963;2006.05.12;7,04;-0,04;7,18;6,90;107,4771;1,7233
2002.01.23;2002.01.25;Y10;2011/A;HU0000401922;2011.02.12;6,64;0,00;6,78;6,50;109,9087;3,4110
2002.01.23;2002.01.25;Y15;2017/A;HU0000402037;2017.11.24;6,43;-0,01;6,57;6,28;104,4189;1,3130
2002.01.24;2002.01.28;M3;D020515;HU0000513171;2002.05.15;8,64;-0,01;8,78;8,49;97,5312;0,0000
2002.01.24;2002.01.28;M6;D020807;HU0000513619;2002.08.07;8,41;0,00;8,54;8,27;95,7871;0,0000
2002.01.24;2002.01.28;M12;D021227;HU0000513494;2002.12.27;8,15;-0,03;8,29;8,01;93,0793;0,0000
2002.01.24;2002.01.28;Y3;2004/J;HU0000402029;2004.10.12;7,44;-0,03;7,58;7,30;107,6279;4,8205
2002.01.24;2002.01.28;Y5;2006/E;HU0000401963;2006.05.12;7,04;0,00;7,17;6,91;107,5370;1,7932
2002.01.24;2002.01.28;Y10;2011/A;HU0000401922;2011.02.12;6,64;0,00;6,78;6,49;110,0013;3,4726
2002.01.24;2002.01.28;Y15;2017/A;HU0000402037;2017.11.24;6,44;0,01;6,58;6,29;104,3727;1,3685
2002.01.25;2002.01.29;M3;D020515;HU0000513171;2002.05.15;8,65;0,01;8,79;8,51;97,5495;0,0000
2002.01.25;2002.01.29;M6;D020807;HU0000513619;2002.08.07;8,40;-0,01;8,54;8,26;95,8106;0,0000
2002.01.25;2002.01.29;M12;D021227;HU0000513494;2002.12.27;8,14;-0,01;8,27;8,01;93,1065;0,0000
2002.01.25;2002.01.29;Y3;2004/J;HU0000402029;2004.10.12;7,44;0,00;7,58;7,30;107,6491;4,8438
2002.01.25;2002.01.29;Y5;2006/E;HU0000401963;2006.05.12;7,05;0,01;7,19;6,91;107,5207;1,8164
2002.01.25;2002.01.29;Y10;2011/A;HU0000401922;2011.02.12;6,65;0,01;6,79;6,50;109,9526;3,4932
2002.01.25;2002.01.29;Y15;2017/A;HU0000402037;2017.11.24;6,44;0,00;6,57;6,30;104,3887;1,3870
2002.01.28;2002.01.30;M3;D020515;HU0000513171;2002.05.15;8,63;-0,02;8,77;8,49;97,5776;0,0000
2002.01.28;2002.01.30;M6;D020807;HU0000513619;2002.08.07;8,40;0,00;8,54;8,26;95,8318;0,0000
2002.01.28;2002.01.30;M12;D021227;HU0000513494;2002.12.27;8,19;0,05;8,32;8,05;93,0904;0,0000
2002.01.28;2002.01.30;Y3;2004/J;HU0000402029;2004.10.12;7,53;0,09;7,66;7,39;107,4686;4,8671
2002.01.28;2002.01.30;Y5;2006/E;HU0000401963;2006.05.12;7,15;0,10;7,28;7,02;107,1761;1,8397
2002.01.28;2002.01.30;Y10;2011/A;HU0000401922;2011.02.12;6,72;0,07;6,86;6,58;109,4635;3,5137
2002.01.28;2002.01.30;Y15;2017/A;HU0000402037;2017.11.24;6,50;0,06;6,64;6,36;103,7628;1,4055
2002.01.29;2002.01.31;M3;D020515;HU0000513171;2002.05.15;8,65;0,02;8,79;8,51;97,5946;0,0000
2002.01.29;2002.01.31;M6;D020807;HU0000513619;2002.08.07;8,48;0,08;8,61;8,34;95,8175;0,0000
2002.01.29;2002.01.31;M12;D021227;HU0000513494;2002.12.27;8,23;0,04;8,37;8,09;93,0747;0,0000
2002.01.29;2002.01.31;Y3;2004/J;HU0000402029;2004.10.12;7,60;0,07;7,74;7,46;107,3128;4,8904
2002.01.29;2002.01.31;Y5;2006/E;HU0000401963;2006.05.12;7,25;0,10;7,39;7,11;106,8340;1,8630
2002.01.29;2002.01.31;Y10;2011/A;HU0000401922;2011.02.12;6,88;0,16;7,01;6,75;108,4094;3,5342
2002.01.29;2002.01.31;Y15;2017/A;HU0000402037;2017.11.24;6,62;0,12;6,76;6,48;102,6054;1,4240
2002.01.30;2002.02.01;M3;D020515;HU0000513171;2002.05.15;8,64;-0,01;8,78;8,49;97,6213;0,0000
2002.01.30;2002.02.01;M6;D020807;HU0000513619;2002.08.07;8,46;-0,02;8,60;8,32;95,8458;0,0000
2002.01.30;2002.02.01;M12;D021227;HU0000513494;2002.12.27;8,23;0,00;8,36;8,09;93,0981;0,0000
2002.01.30;2002.02.01;Y3;2004/J;HU0000402029;2004.10.12;7,55;-0,05;7,69;7,41;107,4523;4,9137
2002.01.30;2002.02.01;Y5;2006/E;HU0000401963;2006.05.12;7,18;-0,07;7,31;7,04;107,1260;1,8863
2002.01.30;2002.02.01;Y10;2011/A;HU0000401922;2011.02.12;6,82;-0,06;6,95;6,68;108,8636;3,5548
2002.01.30;2002.02.01;Y15;2017/A;HU0000402037;2017.11.24;6,54;-0,08;6,68;6,40;103,4048;1,4425
2002.01.31;2002.02.04;M3;D020515;HU0000513171;2002.05.15;8,63;-0,01;8,76;8,49;97,6916;0,0000
2002.01.31;2002.02.04;M6;D020807;HU0000513619;2002.08.07;8,45;-0,01;8,59;8,31;95,9144;0,0000
2002.01.31;2002.02.04;M12;D021227;HU0000513494;2002.12.27;8,13;-0,10;8,26;8,00;93,2304;0,0000
2002.01.31;2002.02.04;Y3;2005/G;HU0000402060;2005.04.12;7,36;-0,19;7,48;7,23;101,4818;0,3822
2002.01.31;2002.02.04;Y5;2006/E;HU0000401963;2006.05.12;7,13;-0,05;7,26;6,99;107,3683;1,9562
2002.01.31;2002.02.04;Y10;2011/A;HU0000401922;2011.02.12;6,78;-0,04;6,91;6,65;109,1567;3,6164
2002.01.31;2002.02.04;Y15;2017/A;HU0000402037;2017.11.24;6,50;-0,04;6,63;6,36;103,9008;1,4979
2002.02.01;2002.02.05;M3;D020515;HU0000513171;2002.05.15;8,61;-0,02;8,75;8,47;97,7180;0,0000
2002.02.01;2002.02.05;M6;D020807;HU0000513619;2002.08.07;8,43;-0,02;8,57;8,29;95,9449;0,0000
2002.02.01;2002.02.05;M12;D021227;HU0000513494;2002.12.27;8,14;0,01;8,27;8,00;93,2459;0,0000
2002.02.01;2002.02.05;Y3;2005/G;HU0000402060;2005.04.12;7,36;0,00;7,49;7,23;101,4878;0,4034
2002.02.01;2002.02.05;Y5;2006/E;HU0000401963;2006.05.12;7,13;0,00;7,26;6,99;107,3886;1,9795
2002.02.01;2002.02.05;Y10;2011/A;HU0000401922;2011.02.12;6,77;-0,01;6,91;6,63;109,2442;3,6370
2002.02.01;2002.02.05;Y15;2017/A;HU0000402037;2017.11.24;6,50;0,00;6,64;6,36;103,8703;1,5164
2002.02.04;2002.02.06;M3;D020515;HU0000513171;2002.05.15;8,50;-0,11;8,63;8,36;97,7701;0,0000
2002.02.04;2002.02.06;M6;D020807;HU0000513619;2002.08.07;8,38;-0,05;8,51;8,24;95,9914;0,0000
2002.02.04;2002.02.06;M12;D021227;HU0000513494;2002.12.27;8,10;-0,04;8,23;7,97;93,2923;0,0000
2002.02.04;2002.02.06;Y3;2005/G;HU0000402060;2005.04.12;7,35;-0,01;7,47;7,22;101,5490;0,4247
2002.02.04;2002.02.06;Y5;2006/E;HU0000401963;2006.05.12;7,08;-0,05;7,21;6,94;107,5903;2,0027
2002.02.04;2002.02.06;Y10;2011/A;HU0000401922;2011.02.12;6,77;0,00;6,90;6,64;109,2630;3,6575
2002.02.04;2002.02.06;Y15;2017/A;HU0000402037;2017.11.24;6,52;0,02;6,66;6,38;103,6911;1,5349
2002.02.05;2002.02.07;M3;D020515;HU0000513171;2002.05.15;8,47;-0,03;8,61;8,33;97,7986;0,0000
2002.02.05;2002.02.07;M6;D020807;HU0000513619;2002.08.07;8,35;-0,03;8,48;8,21;96,0263;0,0000
2002.02.05;2002.02.07;M12;D021227;HU0000513494;2002.12.27;8,12;0,02;8,24;8,00;93,2962;0,0000
2002.02.05;2002.02.07;Y3;2005/G;HU0000402060;2005.04.12;7,36;0,01;7,49;7,22;101,5412;0,4459
2002.02.05;2002.02.07;Y5;2006/E;HU0000401963;2006.05.12;7,12;0,04;7,25;6,99;107,4471;2,0260
2002.02.05;2002.02.07;Y10;2011/A;HU0000401922;2011.02.12;6,80;0,03;6,93;6,66;109,1154;3,6781
2002.02.05;2002.02.07;Y15;2017/A;HU0000402037;2017.11.24;6,52;0,00;6,66;6,38;103,7091;1,5534
2002.02.06;2002.02.08;M3;D020515;HU0000513171;2002.05.15;8,48;0,01;8,62;8,34;97,8183;0,0000
2002.02.06;2002.02.08;M6;D020807;HU0000513619;2002.08.07;8,35;0,00;8,49;8,21;96,0451;0,0000
2002.02.06;2002.02.08;M12;D021227;HU0000513494;2002.12.27;8,15;0,03;8,28;8,01;93,2964;0,0000
2002.02.06;2002.02.08;Y3;2005/G;HU0000402060;2005.04.12;7,38;0,02;7,51;7,25;101,4919;0,4671
2002.02.06;2002.02.08;Y5;2006/E;HU0000401963;2006.05.12;7,19;0,07;7,33;7,05;107,2144;2,0493
2002.02.06;2002.02.08;Y10;2011/A;HU0000401922;2011.02.12;6,89;0,09;7,03;6,75;104,7247;0,0000
2002.02.06;2002.02.08;Y15;2017/A;HU0000402037;2017.11.24;6,56;0,04;6,70;6,42;103,3345;1,5719
2002.02.07;2002.02.11;M3;D020515;HU0000513171;2002.05.15;8,49;0,01;8,63;8,35;97,8826;0,0000
2002.02.07;2002.02.11;M6;D020807;HU0000513619;2002.08.07;8,37;0,02;8,51;8,22;96,1018;0,0000
2002.02.07;2002.02.11;M12;D021227;HU0000513494;2002.12.27;8,17;0,02;8,30;8,04;93,3356;0,0000
2002.02.07;2002.02.11;Y3;2005/G;HU0000402060;2005.04.12;7,47;0,09;7,61;7,33;101,3043;0,5308
2002.02.07;2002.02.11;Y5;2006/E;HU0000401963;2006.05.12;7,26;0,07;7,39;7,12;107,0414;2,1192
2002.02.07;2002.02.11;Y10;2011/A;HU0000401922;2011.02.12;6,94;0,05;7,07;6,80;104,4836;0,0000
2002.02.07;2002.02.11;Y15;2017/A;HU0000402037;2017.11.24;6,65;0,09;6,79;6,50;102,5625;1,6274
2002.02.08;2002.02.12;M3;D020515;HU0000513171;2002.05.15;8,50;0,01;8,63;8,36;97,9037;0,0000
2002.02.08;2002.02.12;M6;D020807;HU0000513619;2002.08.07;8,38;0,01;8,52;8,24;96,1162;0,0000
2002.02.08;2002.02.12;M12;D021227;HU0000513494;2002.12.27;8,17;0,00;8,30;8,03;93,3589;0,0000
2002.02.08;2002.02.12;Y3;2005/G;HU0000402060;2005.04.12;7,42;-0,05;7,55;7,29;101,4613;0,5521
